Name;Koords;Passierbarkeit;cloak_unuseable;warpdrive_leak;lss_malfunction;no_spacecraft_count;dubious_spacecraft_count;no_subspace_lines;lss_blockade;nfs_malfunction_cooldown;shield_malfunction;reactor_leak;eps_leak;hit_chance_interference;evade_chance_interference;energy_weapon_buff;energy_weapon_nerf;regeneration_chance;x;y
Aquilastrudel;40|21;Nebel passierbar;;;;;;;;;;;;;;;;;40;21
Aquilastrudel;40|22;Nebel passierbar;;;;;;;;;;;;;;;;;40;22
Aquilastrudel;40|23;Nebel passierbar;;;;;;;;;;;;;;;;;40;23
Aquilastrudel;41|13;Nebel passierbar;;;;;;;;;;;;;;;;;41;13
Aquilastrudel;41|14;Nebel passierbar;;;;;;;;;;;;;;;;;41;14
Aquilastrudel;41|15;Nebel passierbar;;;;;;;;;;;;;;;;;41;15
Aquilastrudel;41|16;Nebel passierbar;;;;;;;;;;;;;;;;;41;16
Aquilastrudel;41|17;Nebel unpassierbar;;;;;;;;;;;;;;;;;41;17
Aquilastrudel;41|18;Nebel passierbar;;;;;;;;;;;;;;;;;41;18
Aquilastrudel;41|19;Nebel passierbar;;;;;;;;;;;;;;;;;41;19
Aquilastrudel;41|20;Nebel passierbar;;;;;;;;;;;;;;;;;41;20
Aquilastrudel;41|21;Nebel passierbar;;;;;;;;;;;;;;;;;41;21
Aquilastrudel;41|22;Nebel unpassierbar;;;;;;;;;;;;;;;;;41;22
Aquilastrudel;41|23;Nebel passierbar;;;;;;;;;;;;;;;;;41;23
Aquilastrudel;42|12;Nebel passierbar;;;;;;;;;;;;;;;;;42;12
Aquilastrudel;42|13;Nebel passierbar;;;;;;;;;;;;;;;;;42;13
Aquilastrudel;42|14;Nebel passierbar;;;;;;;;;;;;;;;;;42;14
Aquilastrudel;42|15;Nebel passierbar;;;;;;;;;;;;;;;;;42;15
Aquilastrudel;42|16;Nebel unpassierbar;;;;;;;;;;;;;;;;;42;16
Aquilastrudel;42|17;Nebel unpassierbar;;;;;;;;;;;;;;;;;42;17
Aquilastrudel;42|18;Nebel passierbar;;;;;;;;;;;;;;;;;42;18
Aquilastrudel;42|19;Nebel passierbar;;;;;;;;;;;;;;;;;42;19
Aquilastrudel;42|20;Nebel passierbar;;;;;;;;;;;;;;;;;42;20
Aquilastrudel;42|21;Nebel passierbar;;;;;;;;;;;;;;;;;42;21
Aquilastrudel;42|22;Nebel unpassierbar;;;;;;;;;;;;;;;;;42;22
Aquilastrudel;42|23;Nebel passierbar;;;;;;;;;;;;;;;;;42;23
Aquilastrudel;42|24;Nebel passierbar;;;;;;;;;;;;;;;;;42;24
Aquilastrudel;43|12;Nebel passierbar;;;;;;;;;;;;;;;;;43;12
Aquilastrudel;43|13;Nebel passierbar;;;;;;;;;;;;;;;;;43;13
Aquilastrudel;43|14;Nebel unpassierbar;;;;;;;;;;;;;;;;;43;14
Aquilastrudel;43|15;Nebel unpassierbar;;;;;;;;;;;;;;;;;43;15
Aquilastrudel;43|16;Nebel unpassierbar;;;;;;;;;;;;;;;;;43;16
Aquilastrudel;43|17;Nebel unpassierbar;;;;;;;;;;;;;;;;;43;17
Aquilastrudel;43|18;Nebel passierbar;;;;;;;;;;;;;;;;;43;18
Aquilastrudel;43|19;Nebel passierbar;;;;;;;;;;;;;;;;;43;19
Aquilastrudel;43|20;Nebel unpassierbar;;;;;;;;;;;;;;;;;43;20
Aquilastrudel;43|21;Nebel passierbar;;;;;;;;;;;;;;;;;43;21
Aquilastrudel;43|22;Nebel unpassierbar;;;;;;;;;;;;;;;;;43;22
Aquilastrudel;43|23;Nebel passierbar;;;;;;;;;;;;;;;;;43;23
Aquilastrudel;43|24;Nebel passierbar;;;;;;;;;;;;;;;;;43;24
Aquilastrudel;44|11;Nebel passierbar;;;;;;;;;;;;;;;;;44;11
Aquilastrudel;44|12;Nebel passierbar;;;;;;;;;;;;;;;;;44;12
Aquilastrudel;44|13;Nebel unpassierbar;;;;;;;;;;;;;;;;;44;13
Aquilastrudel;44|14;Nebel unpassierbar;;;;;;;;;;;;;;;;;44;14
Aquilastrudel;44|15;Nebel passierbar;;;;;;;;;;;;;;;;;44;15
Aquilastrudel;44|16;Nebel unpassierbar;;;;;;;;;;;;;;;;;44;16
Aquilastrudel;44|17;Nebel passierbar;;;;;;;;;;;;;;;;;44;17
Aquilastrudel;44|18;Nebel passierbar;;;;;;;;;;;;;;;;;44;18
Aquilastrudel;44|19;Nebel unpassierbar;;;;;;;;;;;;;;;;;44;19
Aquilastrudel;44|20;Nebel unpassierbar;;;;;;;;;;;;;;;;;44;20
Aquilastrudel;44|21;Nebel unpassierbar;;;;;;;;;;;;;;;;;44;21
Aquilastrudel;44|22;Nebel passierbar;;;;;;;;1;;;;;;;;;44;22
Aquilastrudel;44|23;Nebel passierbar;;;;;;;;;;;;;;;;;44;23
Aquilastrudel;44|24;Nebel passierbar;;;;;;;;;;;;;;;;;44;24
Aquilastrudel;45|10;Nebel passierbar;;;;;;;;;;;;;;;;;45;10
Aquilastrudel;45|11;Nebel unpassierbar;;;;;;;;;;;;;;;;;45;11
Aquilastrudel;45|12;Nebel unpassierbar;;;;;;;;;;;;;;;;;45;12
Aquilastrudel;45|13;Nebel unpassierbar;;;;;;;;;;;;;;;;;45;13
Aquilastrudel;45|14;Nebel passierbar;;;;;;;;;;;;;;;;;45;14
Aquilastrudel;45|15;Nebel passierbar;;;;;;;;;;;;;;;;;45;15
Aquilastrudel;45|16;Nebel unpassierbar;;;;;;;;;;;;;;;;;45;16
Aquilastrudel;45|17;Nebel passierbar;;;;;;;;;;;;;;;;;45;17
Aquilastrudel;45|18;Nebel passierbar;;;;;;;;;;;;;;;;;45;18
Aquilastrudel;45|19;Nebel unpassierbar;;;;;;;;;;;;;;;;;45;19
Aquilastrudel;45|20;Nebel passierbar;;;;;;;;;;;;;;;;;45;20
Aquilastrudel;45|21;Nebel passierbar;;;;;;;;;;;;;;;;;45;21
Aquilastrudel;45|22;Nebel passierbar;;;;;;;;;;;;;;;;;45;22
Aquilastrudel;45|23;Nebel passierbar;;;;;;;;;;;;;;;;;45;23
Aquilastrudel;45|24;Nebel passierbar;;;;;;;;;;;;;;;;;45;24
Aquilastrudel;46|10;Nebel unpassierbar;;;;;;;;;;;;;;;;;46;10
Aquilastrudel;46|11;Nebel unpassierbar;;;;;;;;;;;;;;;;;46;11
Aquilastrudel;46|12;Nebel passierbar;;;;;;;;;;;;;;;;;46;12
Aquilastrudel;46|13;Nebel passierbar;;;;;;;;;;;;;;;;;46;13
Aquilastrudel;46|14;Nebel passierbar;;;;;;;;;;;;;;;;;46;14
Aquilastrudel;46|15;Nebel passierbar;;;;;;;;;;;;;;;;;46;15
Aquilastrudel;46|16;Nebel passierbar;;;;;;;;;;;;;;;;;46;16
Aquilastrudel;46|17;Nebel passierbar;;;;;;;;;;;;;;;;;46;17
Aquilastrudel;46|18;Nebel unpassierbar;;;;;;;;;;;;;;;;;46;18
Aquilastrudel;46|19;Nebel passierbar;;;;;;;;;;;;;;;;;46;19
Aquilastrudel;46|20;Nebel passierbar;;;;;;;;;;;;;;;;;46;20
Aquilastrudel;46|21;Nebel passierbar;;;;;;;;;;;;;;;;;46;21
Aquilastrudel;46|22;Nebel passierbar;;;;;;;;;;;;;;;;;46;22
Aquilastrudel;46|23;Nebel passierbar;;;;;;;;;;;;;;;;;46;23
Aquilastrudel;46|9;Nebel passierbar;;;;;;;;;;;;;;;;;46;9
Aquilastrudel;47|10;Nebel unpassierbar;;;;;;;;;;;;;;;;;47;10
Aquilastrudel;47|11;Nebel passierbar;;;;;;;;;;;;;;;;;47;11
Aquilastrudel;47|12;Nebel passierbar;;;;;;;;;;;;;;;;;47;12
Aquilastrudel;47|13;Nebel passierbar;;;;;;;;;;;;;;;;;47;13
Aquilastrudel;47|14;Nebel passierbar;;;;;;;;;;;;;;;;;47;14
Aquilastrudel;47|15;Nebel passierbar;;;;;;;;;;;;;;;;;47;15
Aquilastrudel;47|16;Nebel unpassierbar;;;;;;;;;;;;;;;;;47;16
Aquilastrudel;47|17;Nebel unpassierbar;;;;;;;;;;;;;;;;;47;17
Aquilastrudel;47|18;Nebel passierbar;;;;;;;;;;;;;;;;;47;18
Aquilastrudel;47|19;Nebel passierbar;;;;;;;;;;;;;;;;;47;19
Aquilastrudel;47|20;Nebel passierbar;;;;;;;;;;;;;;;;;47;20
Aquilastrudel;47|9;Nebel passierbar;;;;;;;;;;;;;;;;;47;9
Aquilastrudel;48|10;Nebel unpassierbar;;;;;;;;;;;;;;;;;48;10
Aquilastrudel;48|11;Nebel passierbar;;;;;;;;;;;;;;;;;48;11
Aquilastrudel;48|12;Nebel unpassierbar;;;;;;;;;;;;;;;;;48;12
Aquilastrudel;48|13;Nebel passierbar;;;;;;;;;;;;;;;;;48;13
Aquilastrudel;48|14;Nebel unpassierbar;;;;;;;;;;;;;;;;;48;14
Aquilastrudel;48|15;Nebel unpassierbar;;;;;;;;;;;;;;;;;48;15
Aquilastrudel;48|16;Nebel passierbar;;;;;;;;;;;;;;;;;48;16
Aquilastrudel;48|17;Nebel passierbar;;;;;;;;;;;;;;;;;48;17
Aquilastrudel;48|18;Nebel passierbar;;;;;;;;;;;;;;;;;48;18
Aquilastrudel;48|19;Nebel passierbar;;;;;;;;;;;;;;;;;48;19
Aquilastrudel;48|8;Nebel passierbar;;;;;;;;;;;;;;;;;48;8
Aquilastrudel;48|9;Nebel passierbar;;;;;;;;;;;;;;;;;48;9
Aquilastrudel;49|10;Nebel passierbar;;;;;;;;;;;;;;;;;49;10
Aquilastrudel;49|11;Nebel passierbar;;;;;;;;;;;;;;;;;49;11
Aquilastrudel;49|12;Nebel passierbar;;;;;;;;;;;;;;;;;49;12
Aquilastrudel;49|13;Nebel unpassierbar;;;;;;;;;;;;;;;;;49;13
Aquilastrudel;49|14;Nebel passierbar;;;;;;;;;;;;;;;;;49;14
Aquilastrudel;49|15;Nebel passierbar;;;;;;;;;;;;;;;;;49;15
Aquilastrudel;49|16;Nebel passierbar;;;;;;;;;;;;;;;;;49;16
Aquilastrudel;49|17;Nebel passierbar;;;;;;;;;;;;;;;;;49;17
Aquilastrudel;49|7;Nebel passierbar;;;;;;;;;;;;;;;;;49;7
Aquilastrudel;49|8;Nebel passierbar;;;;;;;;;;;;;;;;;49;8
Aquilastrudel;49|9;Nebel unpassierbar;;;;;;;;;;;;;;;;;49;9
Aquilastrudel;50|10;Nebel passierbar;;;;;;;;;;;;;;;;;50;10
Aquilastrudel;50|11;Nebel passierbar;;;;;;;;;;;;;;;;;50;11
Aquilastrudel;50|12;Nebel passierbar;;;;;;;;;;;;;;;;;50;12
Aquilastrudel;50|13;Nebel unpassierbar;;;;;;;;;;;;;;;;;50;13
Aquilastrudel;50|14;Nebel passierbar;;;;;;;;;;;;;;;;;50;14
Aquilastrudel;50|15;Nebel passierbar;;;;;;;;;;;;;;;;;50;15
Aquilastrudel;50|16;Nebel passierbar;;;;;;;;;;;;;;;;;50;16
Aquilastrudel;50|6;Nebel passierbar;;;;;;;;;;;;;;;;;50;6
Aquilastrudel;50|7;Nebel passierbar;;;;;;;;;;;;;;;;;50;7
Aquilastrudel;50|8;Nebel unpassierbar;;;;;;;;;;;;;;;;;50;8
Aquilastrudel;50|9;Nebel passierbar;;;;;;;;;;;;;;;;;50;9
Aquilastrudel;51|10;Nebel passierbar;;;;;;;;;;;;;;;;;51;10
Aquilastrudel;51|11;Nebel passierbar;;;;;;;;;;;;;;;;;51;11
Aquilastrudel;51|12;Nebel passierbar;;;;;;;;;;;;;;;;;51;12
Aquilastrudel;51|13;Nebel unpassierbar;;;;;;;;;;;;;;;;;51;13
Aquilastrudel;51|14;Nebel passierbar;;;;;;;;;;;;;;;;;51;14
Aquilastrudel;51|15;Nebel passierbar;;;;;;;;;;;;;;;;;51;15
Aquilastrudel;51|5;Nebel passierbar;;;;;;;;;;;;;;;;;51;5
Aquilastrudel;51|6;Nebel passierbar;;;;;;;;;;;;;;;;;51;6
Aquilastrudel;51|7;Nebel passierbar;;;;;;;;;;;;;;;;;51;7
Aquilastrudel;51|8;Nebel passierbar;;;;;;;;;;;;;;;;;51;8
Aquilastrudel;51|9;Nebel passierbar;;;;;;;;;;;;;;;;;51;9
Aquilastrudel;52|10;Nebel passierbar;;;;;;;;;;;;;;;;;52;10
Aquilastrudel;52|11;Nebel unpassierbar;;;;;;;;;;;;;;;;;52;11
Aquilastrudel;52|12;Nebel unpassierbar;;;;;;;;;;;;;;;;;52;12
Aquilastrudel;52|13;Nebel unpassierbar;;;;;;;;;;;;;;;;;52;13
Aquilastrudel;52|14;Nebel passierbar;;;;;;;;;;;;;;;;;52;14
Aquilastrudel;52|15;Nebel passierbar;;;;;;;;;;;;;;;;;52;15
Aquilastrudel;52|4;Nebel passierbar;;;;;;;;;;;;;;;;;52;4
Aquilastrudel;52|5;Nebel passierbar;;;;;;;;;;;;;;;;;52;5
Aquilastrudel;52|6;Nebel passierbar;;;;;;;;;;;;;;;;;52;6
Aquilastrudel;52|7;Nebel passierbar;;;;;;;;;;;;;;;;;52;7
Aquilastrudel;52|8;Nebel unpassierbar;;;;;;;;;;;;;;;;;52;8
Aquilastrudel;52|9;Nebel passierbar;;;;;;;;;;;;;;;;;52;9
Aquilastrudel;53|10;Nebel passierbar;;;;;;;;;;;;;;;;;53;10
Aquilastrudel;53|11;Nebel unpassierbar;;;;;;;;;;;;;;;;;53;11
Aquilastrudel;53|12;Nebel passierbar;;;;1;;;;;;;;;;;;;53;12
Aquilastrudel;53|13;Nebel passierbar;;;;;1;;;;;;;;;;;;53;13
Aquilastrudel;53|14;Nebel passierbar;;;;;;;;;;;;;;;;;53;14
Aquilastrudel;53|15;Nebel passierbar;;;;;;;;;;;;;;;;;53;15
Aquilastrudel;53|4;Nebel passierbar;;;;;;;;;;;;;;;;;53;4
Aquilastrudel;53|5;Nebel passierbar;;;;;;;;;;;;;;;;;53;5
Aquilastrudel;53|6;Nebel unpassierbar;;;;;;;;;;;;;;;;;53;6
Aquilastrudel;53|7;Nebel unpassierbar;;;;;;;;;;;;;;;;;53;7
Aquilastrudel;53|8;Nebel passierbar;;;;;;;;;;;;;;;;;53;8
Aquilastrudel;53|9;Nebel passierbar;;;;;;;;;;;;;;;;;53;9
Aquilastrudel;54|10;Nebel passierbar;;;;;;;;;;;;;;;;;54;10
Aquilastrudel;54|11;Nebel unpassierbar;;;;;;;;;;;;;;;;;54;11
Aquilastrudel;54|12;Nebel passierbar;;;;1;;;;;;;;;;;;;54;12
Aquilastrudel;54|13;Nebel unpassierbar;;;;;;;;;;;;;;;;;54;13
Aquilastrudel;54|14;Nebel passierbar;;;;;;;;;;;;;;;;;54;14
Aquilastrudel;54|15;Nebel passierbar;;;;;;;;;;;;;;;;;54;15
Aquilastrudel;54|3;Nebel passierbar;;;;;;;;;;;;;;;;;54;3
Aquilastrudel;54|4;Nebel passierbar;;;;;;;;;;;;;;;;;54;4
Aquilastrudel;54|5;Nebel passierbar;;;;;;;;;;;;;;;;;54;5
Aquilastrudel;54|6;Nebel unpassierbar;;;;;;;;;;;;;;;;;54;6
Aquilastrudel;54|7;Nebel passierbar;;;;;;;;;;;;;;;;;54;7
Aquilastrudel;54|8;Nebel passierbar;;;;;;;;;;;;;;;;;54;8
Aquilastrudel;54|9;Nebel passierbar;;;;;;;;;;;;;;;;;54;9
Aquilastrudel;55|10;Nebel passierbar;;;1;1;;;;;;;;;;1;;;55;10
Aquilastrudel;55|11;Nebel passierbar;;;1;1;;;;;;;;;;;;;55;11
Aquilastrudel;55|12;Nebel unpassierbar;;;;;;;;;;;;;;;;;55;12
Aquilastrudel;55|13;Nebel passierbar;;;;;;;;;;;;;;;;;55;13
Aquilastrudel;55|14;Nebel passierbar;;;;;;;;;;;;;;;;;55;14
Aquilastrudel;55|15;Nebel passierbar;;;;;;;;;;;;;;;;;55;15
Aquilastrudel;55|2;Nebel passierbar;;;;;;;;;;;;;;;;;55;2
Aquilastrudel;55|3;Nebel unpassierbar;;;;;;;;;;;;;;;;;55;3
Aquilastrudel;55|4;Nebel unpassierbar;;;;;;;;;;;;;;;;;55;4
Aquilastrudel;55|5;Nebel unpassierbar;;;;;;;;;;;;;;;;;55;5
Aquilastrudel;55|6;Nebel passierbar;;;;;;;;;;;;;;;;;55;6
Aquilastrudel;55|7;Nebel passierbar;;;;;;;;;;;;;;;;;55;7
Aquilastrudel;55|8;Nebel passierbar;;;;;;;;;;;;;;;;;55;8
Aquilastrudel;55|9;Nebel passierbar;;;;;;;;;;;;;;;;;55;9
Aquilastrudel;56|1;Nebel passierbar;;;;;;;;;;;;;;;;;56;1
Aquilastrudel;56|10;Nebel passierbar;;;1;1;;1;;1;;;;;;;;;56;10
Aquilastrudel;56|11;Nebel passierbar;;;1;1;;1;;1;;;;;;;;;56;11
Aquilastrudel;56|12;Nebel passierbar;;;;;;;;;;;;;;;;;56;12
Aquilastrudel;56|13;Nebel passierbar;;;;;;;;;;;;;;;;;56;13
Aquilastrudel;56|14;Nebel passierbar;;;;;;;;;;;;;;;;;56;14
Aquilastrudel;56|15;Nebel passierbar;;;;;;;;;;;;;;;;;56;15
Aquilastrudel;56|16;Nebel passierbar;;;;;;;;;;;;;;;;;56;16
Aquilastrudel;56|2;Nebel passierbar;;;;;;;;;;;;;;;;;56;2
Aquilastrudel;56|3;Nebel passierbar;;;;;;;;;;;;;;;;;56;3
Aquilastrudel;56|4;Nebel unpassierbar;;;;;;;;;;;;;;;;;56;4
Aquilastrudel;56|5;Nebel passierbar;;;;;;;;;;;;;;;;;56;5
Aquilastrudel;56|6;Nebel passierbar;;;;;;;;;;;;;;;;;56;6
Aquilastrudel;56|7;Nebel passierbar;;;;;;;;;;;;;;;;;56;7
Aquilastrudel;56|8;Nebel unpassierbar;;;;;;;;;;;;;;;;;56;8
Aquilastrudel;56|9;Nebel unpassierbar;;;;;;;;;;;;;;;;;56;9
Aquilastrudel;57|1;Nebel unpassierbar;;;;;;;;;;;;;;;;;57;1
Aquilastrudel;57|10;Nebel unpassierbar;;;;;;;;;;;;;;;;;57;10
Aquilastrudel;57|11;Nebel passierbar;;;;;;;;;;;;;;;;;57;11
Aquilastrudel;57|12;Nebel passierbar;;;;;;;;;;;;;;;;;57;12
Aquilastrudel;57|13;Nebel passierbar;;;;;;;;;;;;;;;;;57;13
Aquilastrudel;57|14;Nebel passierbar;;;;;;;;;;;;;;;;;57;14
Aquilastrudel;57|15;Nebel passierbar;;;;;;;;;;;;;;;;;57;15
Aquilastrudel;57|16;Nebel passierbar;;;;;;;;;;;;;;;;;57;16
Aquilastrudel;57|17;Nebel passierbar;;;;;;;;;;;;;;;;;57;17
