Feldtyp;System;Koords;Detail
System;Wullar Grav-System;103|85;Binärsystem, Blauer Riese, Gelber Riese
System;Doll Mrastror-System;117|91;Blauer Überriese
System;Eshiar Khodel-System;10|116;Weißer Zwerg
System;Tunnomo Ngonn-System;11|105;Gelber Riese
System;Zirad-System;14|113;Oranger Überriese
System;Pehapia-System;17|103;Planetarischer Nebel Weiß
System;Vollana-System;17|108;Binärsystem, Roter Überriese, Gelber Riese
System;Srakkim-System;18|118;Binärsystem, Blauer Zwerg, Blauer Zwerg
System;Oodalor-System;2|116;Binärsystem, Gelber Zwerg, Gelber Zwerg
System;Goguq Wug-System;4|106;Oranger Zwerg
System;Sheabdog-System;4|111;Blauer Riese
System;Gleeglad-System;9|111;Roter Zwerg
System;Shopuu-System;21|112;Neutronenstern Blau
System;Loleethe-System;22|101;Binärsystem, Roter Riese, Oranger Riese
System;Chovan-System;25|108;Brauner Zwerg
System;Ashrovihl Ch'ezennit-System;26|117;Weißer Zwerg
System;Shrith Ch'eshonnar-System;29|112;Roter Riese
System;Arrino-System;31|108;Schwarzes Loch Zwerg Orange
System;Joc-System;32|102;Blauer Riese
System;Poodre-System;34|117;Binärsystem, Roter Überriese, Oranger Riese
System;Tsoj Tohnrorv-System;42|103;Schwarzes Loch Rot
System;R'Vekix-System;50|109;Binärsystem, Oranger Riese, Gelber Zwerg
System;Kazacar-System;52|118;Binärsystem, Roter Riese, Gelber Zwerg
System;Oga-System;57|101;Binärsystem, Roter Riese, Schwarzes Loch
System;Trurpek Kheshi-System;73|112;Gelber Riese
System;Malarot-System;76|117;Roter Überriese
System;Shob Th'chohrorh-System;86|107;Binärsystem, Blauer Zwerg, Roter Zwerg
System;Okri-System;88|113;Weißer Zwerg
System;Argaza-System;90|118;Binärsystem, Blauer Überriese, Blauer Riese
Nebel;Algol-Schleier;10|85;Nebel aus Quelltext
Nebel;Algol-Schleier;10|86;Nebel aus Quelltext
Nebel;Algol-Schleier;10|87;Nebel aus Quelltext
Nebel;Algol-Schleier;10|88;Nebel aus Quelltext
Nebel;Algol-Schleier;11|87;Nebel aus Quelltext
Nebel;Algol-Schleier;11|88;Nebel aus Quelltext
Nebel;Algol-Schleier;8|85;Nebel aus Quelltext
Nebel;Algol-Schleier;9|85;Nebel aus Quelltext
Nebel;Algol-Schleier;9|86;Nebel aus Quelltext
Nebel;Algol-Schleier;9|87;Nebel aus Quelltext
Nebel;Alvarezwolke;26|59;Nebel aus Quelltext
Nebel;Alvarezwolke;26|60;Nebel aus Quelltext
Nebel;Alvarezwolke;27|59;Nebel aus Quelltext
Nebel;Alvarezwolke;27|60;Nebel aus Quelltext
Nebel;Alvarezwolke;28|58;Nebel aus Quelltext
Nebel;Alvarezwolke;28|59;Nebel aus Quelltext
Nebel;Alvarezwolke;28|60;Nebel aus Quelltext
Nebel;Alvarezwolke;28|61;Nebel aus Quelltext
Nebel;Alvarezwolke;29|58;Nebel aus Quelltext
Nebel;Alvarezwolke;29|59;Nebel aus Quelltext
Nebel;Alvarezwolke;29|60;Nebel aus Quelltext
Nebel;Alvarezwolke;29|61;Nebel aus Quelltext
Nebel;Alvarezwolke;30|60;Nebel aus Quelltext
Nebel;Amritsarschleier;114|80;Nebel aus Quelltext
Nebel;Amritsarschleier;114|81;Nebel aus Quelltext
Nebel;Amritsarschleier;114|82;Nebel aus Quelltext
Nebel;Amritsarschleier;114|83;Nebel aus Quelltext
Nebel;Amritsarschleier;115|80;Nebel aus Quelltext
Nebel;Amritsarschleier;115|81;Nebel aus Quelltext
Nebel;Amritsarschleier;115|82;Nebel aus Quelltext
Nebel;Amritsarschleier;115|83;Nebel aus Quelltext
Nebel;Amritsarschleier;115|84;Nebel aus Quelltext
Nebel;Amritsarschleier;116|80;Nebel aus Quelltext
Nebel;Amritsarschleier;116|81;Nebel aus Quelltext
Nebel;Amritsarschleier;116|82;Nebel aus Quelltext
Nebel;Amritsarschleier;116|83;Nebel aus Quelltext
Nebel;Amritsarschleier;116|84;Nebel aus Quelltext
Nebel;Amritsarschleier;117|80;Nebel aus Quelltext
Nebel;Amritsarschleier;117|81;Nebel aus Quelltext
Nebel;Amritsarschleier;117|82;Nebel aus Quelltext
Nebel;Amritsarschleier;117|83;Nebel aus Quelltext
Nebel;Amritsarschleier;117|84;Nebel aus Quelltext
Nebel;Amunatanebel;69|65;Nebel passierbar
Nebel;Amunatanebel;69|66;Nebel passierbar
Nebel;Amunatanebel;69|67;Nebel passierbar
Nebel;Amunatanebel;69|68;Nebel passierbar
Nebel;Amunatanebel;69|69;Nebel passierbar
Nebel;Amunatanebel;70|64;Nebel passierbar
Nebel;Amunatanebel;70|65;Nebel passierbar
Nebel;Amunatanebel;70|66;Nebel passierbar
Nebel;Amunatanebel;70|67;Nebel unpassierbar
Nebel;Amunatanebel;70|68;Nebel passierbar
Nebel;Amunatanebel;70|69;Nebel passierbar
Nebel;Amunatanebel;71|65;Nebel passierbar
Nebel;Amunatanebel;71|66;Nebel unpassierbar
Nebel;Amunatanebel;71|67;Nebel unpassierbar
Nebel;Amunatanebel;71|68;Nebel passierbar
Nebel;Amunatanebel;72|65;Nebel passierbar
Nebel;Amunatanebel;72|66;Nebel passierbar
Nebel;Amunatanebel;72|67;Nebel unpassierbar
Nebel;Amunatanebel;72|68;Nebel passierbar
Nebel;Amunatanebel;73|66;Nebel passierbar
Nebel;Amunatanebel;73|67;Nebel passierbar
Nebel;Andromeda-Nebelwall;49|36;Nebel passierbar
Nebel;Andromeda-Nebelwall;50|35;Nebel passierbar
Nebel;Andromeda-Nebelwall;50|36;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;51|34;Nebel passierbar
Nebel;Andromeda-Nebelwall;51|35;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;51|36;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;51|37;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;52|34;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;52|35;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;52|36;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;52|37;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;53|36;Nebel aus Quelltext
Nebel;Andromeda-Nebelwall;53|37;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;27|74;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;28|73;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;28|74;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;28|75;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;29|73;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;29|74;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;29|75;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;30|74;Nebel aus Quelltext
Nebel;Antares-Dunkelnebel;30|75;Nebel aus Quelltext
Nebel;Aquernebel;110|31;Nebel aus Quelltext
Nebel;Aquernebel;111|30;Nebel passierbar
Nebel;Aquernebel;111|31;Nebel unpassierbar
Nebel;Aquernebel;111|32;Nebel aus Quelltext
Nebel;Aquernebel;112|29;Nebel aus Quelltext
Nebel;Aquernebel;112|30;Nebel aus Quelltext
Nebel;Aquernebel;112|31;Nebel aus Quelltext
Nebel;Aquernebel;113|29;Nebel aus Quelltext
Nebel;Aquernebel;113|30;Nebel aus Quelltext
Nebel;Aquilastrudel;39|17;Nebel passierbar
Nebel;Aquilastrudel;39|19;Nebel aus Quelltext
Nebel;Aquilastrudel;39|20;Nebel aus Quelltext
Nebel;Aquilastrudel;39|21;Nebel aus Quelltext
Nebel;Aquilastrudel;40|16;Nebel passierbar
Nebel;Aquilastrudel;40|17;Nebel aus Quelltext
Nebel;Aquilastrudel;40|18;Nebel passierbar
Nebel;Aquilastrudel;40|19;Nebel passierbar
Nebel;Aquilastrudel;40|20;Nebel passierbar
Nebel;Aquilastrudel;40|21;Nebel passierbar
Nebel;Aquilastrudel;40|22;Nebel passierbar
Nebel;Aquilastrudel;40|23;Nebel passierbar
Nebel;Aquilastrudel;41|13;Nebel aus Quelltext
Nebel;Aquilastrudel;41|14;Nebel aus Quelltext
Nebel;Aquilastrudel;41|15;Nebel aus Quelltext
Nebel;Aquilastrudel;41|16;Nebel aus Quelltext
Nebel;Aquilastrudel;41|17;Nebel unpassierbar
Nebel;Aquilastrudel;41|18;Nebel aus Quelltext
Nebel;Aquilastrudel;41|19;Nebel passierbar
Nebel;Aquilastrudel;41|20;Nebel aus Quelltext
Nebel;Aquilastrudel;41|21;Nebel passierbar
Nebel;Aquilastrudel;41|22;Nebel unpassierbar
Nebel;Aquilastrudel;41|23;Nebel passierbar
Nebel;Aquilastrudel;42|12;Nebel passierbar
Nebel;Aquilastrudel;42|13;Nebel passierbar
Nebel;Aquilastrudel;42|14;Nebel aus Quelltext
Nebel;Aquilastrudel;42|15;Nebel aus Quelltext
Nebel;Aquilastrudel;42|16;Nebel unpassierbar
Nebel;Aquilastrudel;42|17;Nebel unpassierbar
Nebel;Aquilastrudel;42|18;Nebel passierbar
Nebel;Aquilastrudel;42|19;Nebel passierbar
Nebel;Aquilastrudel;42|20;Nebel passierbar
Nebel;Aquilastrudel;42|21;Nebel passierbar
Nebel;Aquilastrudel;42|22;Nebel unpassierbar
Nebel;Aquilastrudel;42|23;Nebel passierbar
Nebel;Aquilastrudel;42|24;Nebel passierbar
Nebel;Aquilastrudel;43|12;Nebel aus Quelltext
Nebel;Aquilastrudel;43|13;Nebel aus Quelltext
Nebel;Aquilastrudel;43|14;Nebel unpassierbar
Nebel;Aquilastrudel;43|15;Nebel unpassierbar
Nebel;Aquilastrudel;43|16;Nebel unpassierbar
Nebel;Aquilastrudel;43|17;Nebel unpassierbar
Nebel;Aquilastrudel;43|18;Nebel passierbar
Nebel;Aquilastrudel;43|19;Nebel passierbar
Nebel;Aquilastrudel;43|20;Nebel unpassierbar
Nebel;Aquilastrudel;43|21;Nebel passierbar
Nebel;Aquilastrudel;43|22;Nebel unpassierbar
Nebel;Aquilastrudel;43|23;Nebel passierbar
Nebel;Aquilastrudel;43|24;Nebel passierbar
Nebel;Aquilastrudel;44|11;Nebel aus Quelltext
Nebel;Aquilastrudel;44|12;Nebel passierbar
Nebel;Aquilastrudel;44|13;Nebel unpassierbar
Nebel;Aquilastrudel;44|14;Nebel unpassierbar
Nebel;Aquilastrudel;44|15;Nebel aus Quelltext
Nebel;Aquilastrudel;44|16;Nebel unpassierbar
Nebel;Aquilastrudel;44|17;Nebel passierbar
Nebel;Aquilastrudel;44|18;Nebel passierbar
Nebel;Aquilastrudel;44|19;Nebel unpassierbar
Nebel;Aquilastrudel;44|20;Nebel unpassierbar
Nebel;Aquilastrudel;44|21;Nebel unpassierbar
Nebel;Aquilastrudel;44|22;Nebel passierbar
Nebel;Aquilastrudel;44|23;Nebel passierbar
Nebel;Aquilastrudel;44|24;Nebel passierbar
Nebel;Aquilastrudel;45|10;Nebel aus Quelltext
Nebel;Aquilastrudel;45|11;Nebel unpassierbar
Nebel;Aquilastrudel;45|12;Nebel unpassierbar
Nebel;Aquilastrudel;45|13;Nebel unpassierbar
Nebel;Aquilastrudel;45|14;Nebel passierbar
Nebel;Aquilastrudel;45|15;Nebel aus Quelltext
Nebel;Aquilastrudel;45|16;Nebel unpassierbar
Nebel;Aquilastrudel;45|17;Nebel passierbar
Nebel;Aquilastrudel;45|18;Nebel passierbar
Nebel;Aquilastrudel;45|19;Nebel unpassierbar
Nebel;Aquilastrudel;45|20;Nebel passierbar
Nebel;Aquilastrudel;45|21;Nebel passierbar
Nebel;Aquilastrudel;45|22;Nebel passierbar
Nebel;Aquilastrudel;45|23;Nebel passierbar
Nebel;Aquilastrudel;45|24;Nebel aus Quelltext
Nebel;Aquilastrudel;46|10;Nebel unpassierbar
Nebel;Aquilastrudel;46|11;Nebel unpassierbar
Nebel;Aquilastrudel;46|12;Nebel passierbar
Nebel;Aquilastrudel;46|13;Nebel aus Quelltext
Nebel;Aquilastrudel;46|14;Nebel passierbar
Nebel;Aquilastrudel;46|15;Nebel aus Quelltext
Nebel;Aquilastrudel;46|16;Nebel passierbar
Nebel;Aquilastrudel;46|17;Nebel passierbar
Nebel;Aquilastrudel;46|18;Nebel unpassierbar
Nebel;Aquilastrudel;46|19;Nebel passierbar
Nebel;Aquilastrudel;46|20;Nebel passierbar
Nebel;Aquilastrudel;46|21;Nebel passierbar
Nebel;Aquilastrudel;46|22;Nebel passierbar
Nebel;Aquilastrudel;46|23;Nebel passierbar
Nebel;Aquilastrudel;46|9;Nebel aus Quelltext
Nebel;Aquilastrudel;47|10;Nebel unpassierbar
Nebel;Aquilastrudel;47|11;Nebel passierbar
Nebel;Aquilastrudel;47|12;Nebel passierbar
Nebel;Aquilastrudel;47|13;Nebel passierbar
Nebel;Aquilastrudel;47|14;Nebel passierbar
Nebel;Aquilastrudel;47|15;Nebel aus Quelltext
Nebel;Aquilastrudel;47|16;Nebel unpassierbar
Nebel;Aquilastrudel;47|17;Nebel unpassierbar
Nebel;Aquilastrudel;47|18;Nebel aus Quelltext
Nebel;Aquilastrudel;47|19;Nebel aus Quelltext
Nebel;Aquilastrudel;47|20;Nebel aus Quelltext
Nebel;Aquilastrudel;47|9;Nebel aus Quelltext
Nebel;Aquilastrudel;48|10;Nebel unpassierbar
Nebel;Aquilastrudel;48|11;Nebel passierbar
Nebel;Aquilastrudel;48|12;Nebel unpassierbar
Nebel;Aquilastrudel;48|13;Nebel passierbar
Nebel;Aquilastrudel;48|14;Nebel unpassierbar
Nebel;Aquilastrudel;48|15;Nebel unpassierbar
Nebel;Aquilastrudel;48|16;Nebel passierbar
Nebel;Aquilastrudel;48|17;Nebel passierbar
Nebel;Aquilastrudel;48|18;Nebel aus Quelltext
Nebel;Aquilastrudel;48|19;Nebel aus Quelltext
Nebel;Aquilastrudel;48|8;Nebel passierbar
Nebel;Aquilastrudel;48|9;Nebel aus Quelltext
Nebel;Aquilastrudel;49|10;Nebel passierbar
Nebel;Aquilastrudel;49|11;Nebel passierbar
Nebel;Aquilastrudel;49|12;Nebel passierbar
Nebel;Aquilastrudel;49|13;Nebel unpassierbar
Nebel;Aquilastrudel;49|14;Nebel aus Quelltext
Nebel;Aquilastrudel;49|15;Nebel passierbar
Nebel;Aquilastrudel;49|16;Nebel passierbar
Nebel;Aquilastrudel;49|17;Nebel aus Quelltext
Nebel;Aquilastrudel;49|7;Nebel passierbar
Nebel;Aquilastrudel;49|8;Nebel passierbar
Nebel;Aquilastrudel;49|9;Nebel unpassierbar
Nebel;Aquilastrudel;50|10;Nebel passierbar
Nebel;Aquilastrudel;50|11;Nebel passierbar
Nebel;Aquilastrudel;50|12;Nebel aus Quelltext
Nebel;Aquilastrudel;50|13;Nebel unpassierbar
Nebel;Aquilastrudel;50|14;Nebel passierbar
Nebel;Aquilastrudel;50|15;Nebel passierbar
Nebel;Aquilastrudel;50|16;Nebel passierbar
Nebel;Aquilastrudel;50|6;Nebel passierbar
Nebel;Aquilastrudel;50|7;Nebel passierbar
Nebel;Aquilastrudel;50|8;Nebel unpassierbar
Nebel;Aquilastrudel;50|9;Nebel aus Quelltext
Nebel;Aquilastrudel;51|10;Nebel passierbar
Nebel;Aquilastrudel;51|11;Nebel aus Quelltext
Nebel;Aquilastrudel;51|12;Nebel aus Quelltext
Nebel;Aquilastrudel;51|13;Nebel unpassierbar
Nebel;Aquilastrudel;51|14;Nebel passierbar
Nebel;Aquilastrudel;51|15;Nebel passierbar
Nebel;Aquilastrudel;51|5;Nebel passierbar
Nebel;Aquilastrudel;51|6;Nebel passierbar
Nebel;Aquilastrudel;51|7;Nebel passierbar
Nebel;Aquilastrudel;51|8;Nebel passierbar
Nebel;Aquilastrudel;51|9;Nebel passierbar
Nebel;Aquilastrudel;52|10;Nebel passierbar
Nebel;Aquilastrudel;52|11;Nebel unpassierbar
Nebel;Aquilastrudel;52|12;Nebel unpassierbar
Nebel;Aquilastrudel;52|13;Nebel unpassierbar
Nebel;Aquilastrudel;52|14;Nebel passierbar
Nebel;Aquilastrudel;52|15;Nebel passierbar
Nebel;Aquilastrudel;52|4;Nebel passierbar
Nebel;Aquilastrudel;52|5;Nebel passierbar
Nebel;Aquilastrudel;52|6;Nebel passierbar
Nebel;Aquilastrudel;52|7;Nebel passierbar
Nebel;Aquilastrudel;52|8;Nebel unpassierbar
Nebel;Aquilastrudel;52|9;Nebel passierbar
Nebel;Aquilastrudel;53|10;Nebel passierbar
Nebel;Aquilastrudel;53|11;Nebel unpassierbar
Nebel;Aquilastrudel;53|12;Nebel passierbar
Nebel;Aquilastrudel;53|13;Nebel aus Quelltext
Nebel;Aquilastrudel;53|14;Nebel aus Quelltext
Nebel;Aquilastrudel;53|15;Nebel passierbar
Nebel;Aquilastrudel;53|4;Nebel aus Quelltext
Nebel;Aquilastrudel;53|5;Nebel passierbar
Nebel;Aquilastrudel;53|6;Nebel unpassierbar
Nebel;Aquilastrudel;53|7;Nebel unpassierbar
Nebel;Aquilastrudel;53|8;Nebel passierbar
Nebel;Aquilastrudel;53|9;Nebel aus Quelltext
Nebel;Aquilastrudel;54|10;Nebel passierbar
Nebel;Aquilastrudel;54|11;Nebel unpassierbar
Nebel;Aquilastrudel;54|12;Nebel passierbar
Nebel;Aquilastrudel;54|13;Nebel unpassierbar
Nebel;Aquilastrudel;54|14;Nebel passierbar
Nebel;Aquilastrudel;54|15;Nebel passierbar
Nebel;Aquilastrudel;54|3;Nebel passierbar
Nebel;Aquilastrudel;54|4;Nebel passierbar
Nebel;Aquilastrudel;54|5;Nebel passierbar
Nebel;Aquilastrudel;54|6;Nebel unpassierbar
Nebel;Aquilastrudel;54|7;Nebel passierbar
Nebel;Aquilastrudel;54|8;Nebel passierbar
Nebel;Aquilastrudel;54|9;Nebel passierbar
Nebel;Aquilastrudel;55|10;Nebel passierbar
Nebel;Aquilastrudel;55|11;Nebel passierbar
Nebel;Aquilastrudel;55|12;Nebel unpassierbar
Nebel;Aquilastrudel;55|13;Nebel aus Quelltext
